order_id,review_score,review_text,customer_unique_id,review_id,category_english,macro_category
3cd1fc00785c7052ace31b764290e42c,5,Entrega no prazo,bec155d3569b43b5e6cd4ea53a153800,4ebc7aa81276caa08f85dff0fdd9671e,bed_bath_table,Home & Living
ccec592b58e122dc2bfc2305152d9603,5,eu recebi apenas um jogo de lençol o jogo de lençol adriana nao veio junto,61b4260aa3892f7f714ba862cd42fd0e,334b60b9800084113a6c2ae125811f92,bed_bath_table,Home & Living
e94753fb36e53fd8e0ed80fd513faa16,5,"Bom,entregou no prazo",9e066311b498f2311b3e21a6577fe238,b0578ab29ddaa708b354d57dda25fb48,bed_bath_table,Home & Living
29dad235dca65da6ae29389dea7b96c9,5,Entrega antes do Prazo,95658def8757785f6ff8565d8cd2ea59,eb09f6563e50cbf794bc2af3789e1091,bed_bath_table,Home & Living
47d2367a665bbdf93b5db53cfc4f5d2a,5,"Minha encomenda chegou bem antes do prazo de entrega..
Amei..",39890e8a7f409dde80aef016e9601937,df5b8da890f85e3d4ff973ba2132e86c,bed_bath_table,Home & Living
99bcaf97ce53d503eb254ac49786bb13,5,"É presente, logo não sei se a pessoa gostou. Obrigada",2a71f9e7d759364bda9e2acb39512509,cee123ed63c54bc5b636bd643b99efda,bed_bath_table,Home & Living
9724ff037a78e9215939269a8f52ef19,5,Amei! Muito macio,da686e70571c6dd4956e1079fb3ff38f,85b5a1999dce74a299fd1689298c96d8,bed_bath_table,Home & Living
5c097b2906957e90e5958008194041ba,5,Gostei bastante,b55c7b134de7fa6dc4406d08bdf0af04,9a10a989e3678d045bdec520ed8b219c,bed_bath_table,Home & Living
1c3942a6bfebaf529e695c920baacb0f,5,"Ótima compra,foi rápida e no dia da entrega correta. Parabéns!",4648c711cbe27ad988bd420693c16744,1238139eea3ce571733a7331c89a549c,bed_bath_table,Home & Living
44d2ec7f124befc9d02cd313f1af14c5,5,"Perfeito, entrega antes do prazo, recomendo.",bd90162c6aae0b10c7698d84aac082d5,f4cf759f40ea978ad736f00a5d39e50f,bed_bath_table,Home & Living
77695976859e3c3e692c5a5bc670f31b,5,Muito bonito do jeito que eu esperava.,452df76d2b785ba9e1a622ea86758d66,27d832f3d65bcae2efb29e4cbf056296,bed_bath_table,Home & Living
8fc3842e23d0010bd7f86eed9c0b3c78,5,Entrega antes do prazo.,c24418a742a0d8fdf59827fd30d5e01e,29df7a6cbbd1d880f963460ba19d3c3c,bed_bath_table,Home & Living
f6bf536c581306c6334e82ca15d7bea5,5,Amei muito lindos e de boa qualidade obrigado lannister,dc6da86086ea05abb979ecc24ae1d500,1e1a377cb278dff7ab9ffb2dcd76bec2,bed_bath_table,Home & Living
8b5a4b2799bee31ca06187259aea4da5,5,Gostei do produto comprado,0c8bb533d7d2ce68d17177bc8fb5c22d,f72656934801e60fa43f205ecadfa393,bed_bath_table,Home & Living
86891f436de654a1481776e0263fc5d2,5,Entrega no prazo o produto é ótimo. Super indico???,38b8752d745e01a425f8df47f7b2f57d,9ea8962c5e6a97630178629c0a0a7406,bed_bath_table,Home & Living
3b3725fa3dfc009ca1e6ebc503a0bd16,5,PRODUTO DE BOA QUALIDADE E ENTREGUE DENTRO DO PRAZO MARCADO.,486a411f40fe3cbdf049451bd713d2be,f874d06f3076ba1235364c619b36d1fb,bed_bath_table,Home & Living
ec1692cdaaac26359dd2b8da5e6a409f,5,entrega rapida produto otimo,f377461b37160ea383bbb3535714ba31,196674c23291bddb252984c4f6c6dbc7,bed_bath_table,Home & Living
ec3a30c1155fb62e7f0067107c94b83e,5,amei veio certinho chegou bem rápido,922234c767eb20840f16bb0aa97ef0c2,cc0f1ca9f4266fbadf18047eca5e29eb,bed_bath_table,Home & Living
dd12f57a8bc06b6105b3e8c0c1bdbabd,5,otimo site .entrega rapida,f377461b37160ea383bbb3535714ba31,c56feb72635b48bbeb78af2d32932f46,bed_bath_table,Home & Living
3e4fbccb16133fd341f745f8be520648,5,Produto bem embalado e igual ao da foto. Almofadinha muito linda.,695a8d041b1d12210b6d29b0637004d6,f290992d52e251cd9b2f680191c816d7,bed_bath_table,Home & Living
07808f3f87407774955a7ceb2f4fe5d2,5,"Foi bem rápido a entrega, fiquei muito satisfeita.",4851463625df0c8c8e3e60f6119673aa,2afb8b2ca07fe42704c2728149939f4e,bed_bath_table,Home & Living
bb4a9be7985d105a189b15022bcc7120,5,Recebi o produto antes do que esperava. Vcs são incríveis!,df4a769135c07d12b4d74004f2b9687d,5e501f1e2aa5669bf37434286613953b,bed_bath_table,Home & Living
df71ba0f02310921da0a5e4f708916a5,5,Gostei do serviço,26f17bce4c85dfa04d493059fe609cd5,32119be8f4888547172ab9519e3a96a1,bed_bath_table,Home & Living
