order_id,review_score,review_text,customer_unique_id,review_id,category_english,macro_category,english_review_text
f585ab48a4d0027744dd2912cb42a2cb,1,veio pwla metad,919b613e7aa171cb4ca017c049fbc5da,2f210df09863168e9f9372e43ce53528,garden_tools,Home & Living,The metadata came from the process.
01a1553cddb473cec004af5ce2192f1c,4,otimo,704c21a02e59001049f14ec33b3b0be0,bb4adccbf5dec1dc01a9fadb2fe3a6bf,home_construction,Home & Living,It's very good.
57274b4596c5c76c54168e88dbcf922f,5,luminária linda boa qualidad chegou bem embalada,a7175616bbd961493941fa1159d2033f,61364556967b7fbdbda6a7a71573ce70,garden_tools,Home & Living,The beautiful good quality of the light came well packed.
027a84a16c22c706669f35d578853f3e,1,quero saber porqu tanto atraso na minha encomenda porqu deram previsão para dia até hoje nada,5250c9708a2b44c10bd5cd9f94235290,bc99e8911baf06b4d1d126d9f23baeb3,bed_bath_table,Home & Living,I want to know why my order is so late because I have no forecast for today.
5c2bbf0c34b51eec1e79c0d7ef81f86b,5,ótima compra qualidad excelent valor melhor ainda recomendo,7295177fabcd2c6e9a4a3bd094a91f50,3301fa1df8a3f4c70ea61d5dd8c7c860,garden_tools,Home & Living,Optimum purchase quality excelent value better still recommend
a2b29ceea06f28d1c71db5b2c9529820,5,ótimo super recomendo essa loja,f495d4e398dcb42bb1d1da6c47a532da,0215ef70487788987ef8d205b17de09d,fashion_male_clothing,Lifestyle,I highly recommend this store.
3315a8038d5ead17040d6658a1377c7f,5,excelent negócio recebi exato pedi bem estimado certament voltarei negociar est fornecedor,c3762fec4057f3b404988d9943e5bf42,9400c85832b464a99b933e7393bfc60f,health_beauty,Lifestyle,Excellent business recebi exato pedi bem estimado certament voltarei negociar est fornecedor
49750d9578cdcf35d9c002434ecab639,3,nao recebi cadeirinha carro apena tapet apena tapet,3ec1be9f245928e43aa7bc87fa547ea4,9f2f18dabb7cef5c8719de6a697ce09b,bed_bath_table,Lifestyle,They don't get a car seat or a carpet or a carpet.
fc84e4c7eef7e91a7cd081a2f273f5b8,1,está completa falta um pneu por enquanto avaliação é esta,2534aafcae446257e91626269b9e185e,81669c0e77ec52a88c027a1f91d03a46,auto,Home & Living,"A tyre is completely missing for now, so this is the evaluation."
8216863fd456be73595ea9fa23901d1a,5,bom chegou serviu direitinho,2b7a66f527d317ffb47ab456abd9698e,0e62ca4f651ca0635141284ac3bea076,sports_leisure,Lifestyle,He arrived at the right side of the boat.
d77216a3568824e12f455a229454fe60,5,bom ótima qualidad super rápida,684689f222c50c8fde9be4231b6bf5c7,8959bf2b92364c49d65e692044b94632,cool_stuff,Lifestyle,The best quality is super fast.
e4e9fa1ceb459e9dfebba5e0b09849f3,4,primeira vez compro gostei desd acompanhamento até bom,d4f6e329d878d36cb58f84de44cb03e9,f813e744b8aba8faeabc3965ef647469,sports_leisure,Lifestyle,For the first time I bought guests of the accompaniment until the bom.
6d4fbffb6862725cc8485066b8aca192,2,foi entregu correto site seguro porem veio quebrado espero loja troqu ou devolva dinheiro estou esperando uma devolutiva,b0c349820985b658bd337d5e317e7e84,1251980336177d66fa0036dd6319d805,garden_tools,Home & Living,It was delivered correctly from the site safe porem came broken I'm waiting for a return or return money I'm waiting for a return
c6debc710c2b29405098532721c1a42b,5,foi mai rápida previsto,c4e292752e8cf777263063aabc49b847,e9164279c619b507fb4e994640018453,auto,Home & Living,The fastest possible outcome was predicted.
a0d699e2e7598ef4a849c8089f3c1277,1,já se passou dia máximo até agora nada total já são mai dia aguardando meu mesmo foi enviado via correio ao invé transportadora insatisfeita,d26701079841116a3f74ae4bedbfeac0,89a0e3830a71ad7ec14efa88211092f5,toys,Lifestyle,"It's been a long time since I've had anything in total, and I'm waiting for my mail to be sent to an unsatisfied carrier."
64c3463da17e1c9262d302b03a81fb0b,3,ok,d1a791fed0df39cc2332cd18e43859ed,a4fd284edac734b7703bafe1afa9573a,computers_accessories,Tech & Gadgets," Okay, all right."
b0d51bb5e23f53c3a6bb262cd435abd8,5,bem atendido,f4a34603fe4cb4c82037df6f28b7e511,d3db42e8efbcbb6e2a6383e23aea6950,sports_leisure,Lifestyle,Well attended.
f6015e259b552af1df4a7d889a5da8c4,4,porém meu pedido veio avaria,cbafc7b764ffa0db5a66e76ad760c7c7,8553f3c19210dc89927612d784e0ed96,air_conditioning,Home & Living,"However, my order was broken."
5c97cc0de518333940b05d3c09558004,5,ótimo rápida,84553df72dc385246856f0a63763dde7,e7f57fe3de9309cbbfc1cef83d640a4d,computers_accessories,Tech & Gadgets,This is a very fast one.
0baf7baccd1d8c755bfb78c96a2bbc62,4,bom,12611e5049d58be3e7edc5fa448d9ad4,dda37b0e0fd21806ff90c40559614dc4,bed_bath_table,Home & Living,The bombs are bombs.
bbff6155059675574b04a09d10cbb76c,5,recomendo,144fddb3cd5ed0e313d70eb0a8df5215,5b01e5235d789ef2cc9b87bf09c85172,bed_bath_table,Home & Living,Recommend you to do this.
d2b0e9ad3eb702103a07a98fb24ef49c,1,gostaria saber se tenho mandar amola poo veio sem cort,6e90b8bc3398f3bec616203e99bb969a,bcca3ec70c4b98a85cd8aaac5df8d724,health_beauty,Lifestyle,I would like to know if I have to send amola poo without a shortcut.
ac0d651b9931070684816c338dab9a3a,5,sem critica,b1d324629109952056d8da2a691a856d,7931b0c31c733397828b83d01e1beb00,furniture_decor,Home & Living,without criticism
62f1923bf7409f0a4c029c4576499d4f,5,como descrito chegou final,34b299f441d2c39d21047961ffb9932b,cf93a76fe49b525bc175d89624813f8e,electronics,Tech & Gadgets,"As described, it has reached its final destination."
7a40bb8803549af172ca4403ff436229,1,recebi relógio tard mai precisament às mesmo dia o ponteiro análogico pararam funcionar estou usando preciso uma solução para problema,efe3565a80fc9f9cb39c28c88ee17c23,f735225ee3fe196ab804bf330e5fc364,watches_gifts,Tech & Gadgets,I'm using a clock to get the same exact time or analog pointer to work.
